Restore	載入
By the way, I want to introduce you to your new partner.	對了，我想介紹你給你的新搭檔認識。
Officer Bonds, meet Officer Pat Morales, your new partner.	警員 Bonds，認識一下警員 Pat Morales，你的新搭檔。
Oh no, not you!?	噢不，不會是你吧！？
Hey, Bonds. Looks like we're stuck together, eh?	嘿，Bonds。看來我們要湊在一起了，是吧？
Sorry if I've been a little rough around the edges lately. I'm not so bad once you get to know me.	如果我最近有點粗魯的話抱歉。一旦你認識我，就知道我不是那麼壞。
Listen, Sonny. I...I can't begin to imagine what you must be going through. But I want you to know that the entire department is pulling for you to catch the thug who did this.	聽著，Sonny。我...我無法想像你現在經歷的是什麼。但我要讓你知道，整個警局都支持你抓住那個幹這事的王八蛋。
I admire your ability to maintain a professional attitude through this hardship. You are to be commended. I just wanted to remind you to examine the scene of the crime thoroughly.	我很欣賞你在這種困頓中仍能保持專業態度。這值得表揚。我只想提醒你要徹底檢查犯罪現場。
Have you been back to the mall to look for any physical evidence in Marie's stabbing yet?	你有回過購物中心找 Marie 遭刺案的物證嗎？
Bonds, don't let your emotional state over Marie's injuries distract you from making a comprehensive sweep of the crime site.	Bonds，別讓你對 Marie 傷勢的情緒分散你的注意力，你要全面搜索犯罪現場。
Bonds, I understand you're getting sloppy on this case. Get your butt back to the mall and search that crime area again, damnit!	Bonds，我聽說你在這案子上工作有點馬虎。滾回購物中心去，再搜一遍犯罪現場，該死！
Don't worry, your lady will pull through.	別擔心，你的妻子會挺過來的。
I hope Marie's doin' better.	我希望 Marie 好些了。
Marie's gotta be one tough cookie to have put up with you this long, Sonny. She'll be alright.	Marie 一定是個硬骨頭，居然能忍受你這麼久，Sonny。她會沒事的。
Major drag about Marie, Sonny. Hope she pulls through.	關於 Marie 的事真是太糟了，Sonny。希望她能挺過來。
 Well Bonds! Get out there and catch some bad guys!.	 好吧，Bonds！出去抓壞傢伙吧！
You advise the captain of the pentagram pattern based on the murder locations, times, and dates.	你根據兇殺案的地點、時間和日期向警監報告五角星圖案。
You also tell him the possible location of the next hit.	你也告訴他下一次襲擊可能發生的地點。
Well that doesn't leave much you time, Bonds!	那樣的話你沒有太多時間了，Bonds！
 Did you check your computer Bonds? Better take a look!	 你有檢查你的電腦嗎，Bonds？最好看一下！
You seen the messages on your computer, Bonds? Better take a look!	你有看過你電腦上的訊息嗎，Bonds？最好看一下！
 Have you called dispatch with that description yet?	 你有把那個描述報給勤務中心嗎？
You may want to get that description on the air.	你最好把那個描述傳出去。
Well that doesn't leave much time Bonds!	這樣的話你沒有太多時間了，Bonds！
You seen the messages on your computer Bonds? Better take a look!	你有看過你電腦上的訊息嗎，Bonds？最好看一下！
Bonds! I want you to get over to the 200 block of River Road, now!	Bonds！我要你馬上去 River Road 200 號街區！
You feel a warm flushed feeling comes over you as Morales walks in and catches you in her drawer.	當 Morales 走進來抓住你翻她的抽屜時，你感到一股溫暖的臉紅感。
HEY! You mind telling me what the hell you're doing in my desk? That's breaking and entering. Your going to hang for this, Bonds!	嘿！你來告訴我你在我的桌子裡幹什麼呢？這是撬鎖入室。你會為此付出代價的，Bonds！
Hey Bonds, you better quit leaving department equipment lying around. That baglady had a fit not being able to move her shopping cart.	嘿，Bonds，你最好別在那裡亂丟警局設備。那個拾荒婦女因為搬不了她的購物車而發火。
You turn bright red as the captain hands back your cuffs you forgot at the warehouse.	當警監把你在倉庫遺忘的手銬還給你時，你的臉變得通紅。
Bonds, the coroner called and said he has something important for you. 	Bonds，法醫打來說他有重要的事要給你。 
Something he found on the fatal crash victim last night. Better get over to see him,.. pronto!	他在昨晚那個致命車禍死者身上發現的東西。最好趕快去見他！
Your partner should be back from her physical testing any second.	你的搭檔應該馬上就會從體能測試回來。
Captain, I have reason to believe that my partner, Morales, has stolen some of the evidence from the Rocklin case.   There were five bags of cocaine removed from accident scene, but only four were checked in as evidence.	警監，我有理由相信我的搭檔 Morales 從 Rocklin 案中盜竊了一些證物。   事故現場移出了五袋可卡因，但只有四袋被登錄為證物。
I'm also beginning to suspect that she may be in league with this cult.	我還開始懷疑她可能與這個教派有勾結。
Alright Bonds, I'll have the Internal Affairs boys check it out and keep an eye on her. Play it straight but be careful.	好的，Bonds，我會讓內務組去查這件事並監視她。照規矩辦但要小心。
You're not in the homicide division.	你不在重案組。
You have messages on your computer.	你電腦上有訊息。
This is your computer.	這是你的電腦。
The chairs are for officers assigned to Homicide.	這些椅子是給重案組的警員用的。
Your chair isn't exactly a lazy boy, but you like it.	你的椅子不是豪華躺椅，但你喜歡它。
You are already sitting down.	你已經坐下了。
That's where Pat sits.	那是 Pat 坐的地方。
Sit in your own chair, Sonny.	坐在你自己的椅子上，Sonny。
It's Pat's desk drawer.	那是 Pat 的桌子抽屜。
The desks are for officers assigned to Homicide.	這些桌子是給重案組的警員用的。
It's locked.	它被鎖上了。
You don't have the key.	你沒有鑰匙。
Better not while people are in the room.	最好別在有人在房間裡的時候做。
You find a piece of paper with a series of numbers on it..."386."	你發現一張紙上有一列數字…「386」。
Carefully you close and relock the drawer.	你小心地關上並重新鎖上抽屜。
You jot the numbers down in your notebook.	你把那些數字記在筆記本上。
Pat is busy at her desk right now.	Pat 現在正在她的桌前忙著。
She doesn't want to shake hands, Bonds.	她不想和你握手，Bonds。
You've already informed the captain of Morales' activities.	你已經把 Morales 的活動告訴了警監。
The captain doesn't have time for idle chit chat.	警監沒有閒工夫閒聊。
You have a phone message from the captain in your basket.	你的籃子裡有來自警監的電話訊息。
There is a note in your basket.	你的籃子裡有張便條。
There's a subpoena in your basket.	你的籃子裡有份傳票。
You need your Computer Access card.	你需要你的電腦存取卡。
That's where Earl sits.	那是 Earl 坐的地方。
Messing with Captain Tate could get you fired, Bonds.	招惹 Captain Tate 可能會讓你被開除，Bonds。
That desk belongs to Pat Morales - your partner.	那張桌子是 Pat Morales 的──你的搭檔。
You are not assigned to Homicide right now.	你現在沒被分配到重案組。
There's nothing of interest on Pat's desk.	Pat 的桌子上沒有什麼有趣的東西。
Earl Hank's desk is cluttered and covered with scuff marks from his shoes.	Earl Hank 的桌子很亂，到處是他鞋子留下的刮痕。
Leave Earl's stuff alone.	別動 Earl 的東西。
Your desk is near the filing cabinet.	你的辦公桌在檔案櫃旁邊。
The window doesn't open and the blinds are fine.	窗戶打不開，百葉窗也好好的。
You can't stop crime by ripping up the graph.	把圖表撕了也阻止不了犯罪。
None of the books interest you.	這些書你一本都不感興趣。
The messages are public - leave them up.	這些公告是給大家看的，別拿下來。
The memo advises of a mandatory attendance of all female officers for physical performance testing at the beginning of shift tomorrow.	備忘錄通知：全體女警明天上班一開始要強制參加體能測驗。
Herein lies the names of the programmers who without undo fanfare brought you this game. Doug Oldfield, Chris Hoyt, Kim Bowdish and Mike Larsen.	這裡列著默默無聞、為你帶來這款遊戲的程式設計師名單：Doug Oldfield、Chris Hoyt、Kim Bowdish 與 Mike Larsen。
Rarely do you find anything of interest on the bulletin board.	佈告欄上很少有什麼值得看的東西。
Your fellow officers have been a little on edge since the corner donut shop closed. You take their ribbing in stride knowing that it comes with the territory when your the new Sarge on the block.	自從街角的甜甜圈店關門後，同事們的脾氣都有點浮躁。你不當一回事，畢竟剛當上新警佐，被虧幾句是免不了的。
Come on Sarge! Get with the briefing.	拜託，警佐！快點開始交班簡報吧。
The Lytton public needs us, Sergeant! Give us the crap of the day so we can get out of here.	Lytton 的市民需要我們，警佐！趕快把今天的鳥事講一講，讓我們出去辦事。
